time,count
2020-11-08 12:30:02,52526
2020-11-09 00:30:02,52151
2020-11-09 12:30:04,51980
2020-11-10 00:30:05,51753
2020-11-10 12:30:02,51783
2020-11-11 00:30:02,51384
2020-11-11 12:30:02,51384
2020-11-12 00:30:03,51560
2020-11-12 12:30:02,51601
2020-11-13 00:30:03,51714
2020-11-13 12:30:01,51695
2020-11-14 00:30:03,51784
2020-11-14 12:30:02,51767
2020-11-15 00:30:02,51567
2020-11-15 12:30:02,51508
2020-11-16 00:30:05,51156
2020-11-16 12:30:03,51060
2020-11-17 00:30:02,50887
2020-11-17 12:30:02,50857
2020-11-18 00:30:10,50765
2020-11-18 12:30:01,50775
2020-11-19 00:30:09,50761
2020-11-19 12:30:02,50784
2020-11-20 00:30:02,50703
2020-11-20 12:30:03,50644
2020-11-21 00:30:03,50654
2020-11-21 12:30:02,50602
2020-11-21 20:20:04,50565
2020-11-22 08:20:02,50451
2020-11-22 20:20:03,50248
2020-11-23 08:20:01,50112
2020-11-23 20:20:03,49950
2020-11-24 08:20:02,49923
2020-11-24 20:20:02,49855
2020-11-25 08:20:02,49829
2020-11-25 20:20:02,49954
2020-11-26 08:20:01,50562
2020-11-26 20:20:03,50840
2020-11-27 08:20:02,50827
2020-11-27 20:20:02,50770
2020-11-28 08:20:02,50802
2020-11-28 20:20:03,50641
2020-11-29 08:20:01,50508
2020-11-29 20:20:04,50348
2020-11-30 08:20:03,50200
2020-11-30 20:20:03,50036
2020-12-01 08:20:02,49981
2020-12-01 20:20:03,49845
2020-12-02 08:20:01,49801
2020-12-02 20:20:03,49649
2020-12-03 08:20:01,49659
2020-12-03 20:20:03,49595
2020-12-04 08:20:02,49607
2020-12-04 20:20:02,49520
2020-12-05 08:20:02,49491
2020-12-05 20:20:02,49386
2020-12-06 08:20:02,49268
2020-12-06 20:20:02,49109
2020-12-07 08:20:02,48934
2020-12-07 20:20:02,48530
2020-12-08 08:20:01,48502
2020-12-08 20:20:03,48464
2020-12-09 08:20:02,48439
2020-12-09 20:20:02,48315
2020-12-10 08:20:01,48270
2020-12-10 20:20:02,48130
2020-12-11 08:20:02,48104
2020-12-11 20:20:03,48006
2020-12-12 08:20:02,47991
2020-12-12 20:20:03,47834
2020-12-13 08:20:01,47721
2020-12-13 20:20:05,47459
2020-12-14 08:20:02,47298
2020-12-14 20:20:02,46918
2020-12-15 08:20:02,46889
2020-12-15 20:20:02,46764
2020-12-16 08:20:02,46716
2020-12-16 20:20:03,46496
2020-12-17 08:20:02,46458
2020-12-17 20:20:03,46255
2020-12-18 08:20:03,46244
2020-12-18 20:20:02,46057
